onset,duration,description
549573,60,head movement
643797,60,eye blinks
2013637,60,jaw clench
2093463,120,eyes open
2218617,120,eyes closed
2464580,79,"interruption, curandero bathroom"
2585847,960,control
2848050,0,5
2908750,0,5
2953157,0,5
2967963,0,5
3284523,0,5
3376200,0,5
3388990,0,5
3447947,0,5
3493383,0,5
3536433,0,5
4142033,0,ingestion
5274873,120,eyes open
5395520,120,eyes closed
5787710,0,5
5915837,0,5
5975110,0,5
6195737,0,5
6256107,0,5
6311503,0,5
6359103,0,resynchronize EEG
6547543,0,5
6605403,0,5
6682743,92,"interruption, curandero standing"
7118210,0,resynchronize EEG
7148700,0,5
7187747,0,5
7372760,105,"interruption, curandero bathroom"
7394047,0,5
7943700,0,5
8010810,0,5
8082337,0,5
8120590,0,5
8183223,0,5
8261490,0,resynchronize EEG
8730440,0,5
8774063,0,5
8810277,0,resynchronize EEG
8915843,0,7
8926060,0,7
8957623,0,7
9044177,0,5
9055907,0,7
9071807,0,7
9089670,0,5
9123327,0,7
9255253,0,7
9296480,0,7
9454580,0,7
9516560,0,7
9539833,0,7
9565820,0,7
9717443,0,limpia
9750107,0,7
9776553,81,"interruption, curandero bathroom"
9853440,0,7
9945743,0,7
9985513,0,"interruption, second apprentice enters"
10075460,0,7
10092593,0,5
10174613,0,7
10191237,0,limpia
10343570,0,7
10469107,0,patient wakes up from trance
10557160,0,5
10596993,0,5
10619497,0,7
10638100,0,5
10666293,0,limpia
10734797,0,5
10766170,0,7
10783533,0,5
10801837,0,7
10808297,0,limpia
10992627,0,resynchronize EEG
11179087,0,7
11192450,0,7
11221373,0,limpia
11297390,0,7
11308843,0,7
11315180,0,5
11392420,0,5
11468367,0,7
11487750,0,7
11612297,0,patient speaking
11792610,0,7
11805433,0,7
11844963,0,7
11881387,0,7
11890443,0,7
11919393,0,5
11929510,0,7
11979113,0,5
12084573,0,5
12125890,0,7
12195540,0,7
12217163,0,5
12226420,0,7
12308187,0,7
12387187,0,"catarsis, patient"
12418940,0,5
12492493,0,7
12499140,0,5
12617973,0,"interruption, curandero mastoid electrode adjustment"
12680637,0,7
13080730,0,5
13130837,0,resynchronize EEG
13306290,0,5
13514583,0,"interruption, curandero crying"
13565517,0,5
13621047,0,5
13635763,0,7
13654813,0,5
13718463,0,7
13854860,0,7
13922350,0,5
13995307,0,7
14150717,0,7
14196097,0,7
14241507,0,5
14389570,122,"interruption, curandero vomits"
14415593,0,resynchronize EEG
14622360,0,5
14758427,0,7
14785590,0,7
14815973,0,"interruption, curandero crying"
14938663,0,7
14967943,0,7
14993063,0,7
15005673,0,7
15014880,0,"interruption, curandero crying"
15068473,0,7
15097087,0,7
15275423,0,7
15366500,0,5
15380560,0,7
15413870,0,7
15427467,0,7
15441740,0,7
15473557,0,7
15581517,0,5
15665243,0,"catarsis, curandero leaves trance"
15727267,0,5
16011170,0,"catarsis, patient thanking"
16431400,0,5
16647657,0,5
16801857,285,"limpia, apprentice"
17120763,0,5
17267733,0,7
17846853,660,"interruption, general break"
